x;Linker Sensor;Rechter Sensor
0;916;907
1;920;910
2;934;935
3;879;909
4;863;911
5;762;825
6;803;812
7;798;806
8;916;888
9;941;916
10;854;860
11;745;797
12;860;874
13;941;913
14;784;822
15;748;802
16;936;919
17;791;812
18;760;864
19;937;887
20;745;798
21;886;927
22;872;791
23;759;925
24;936;803
25;718;895
26;933;839
27;735;887
28;930;823
29;746;915
30;934;800
31;745;926
32;935;789
33;735;931
34;931;791
35;747;922
36;921;829
37;818;856
38;825;889
39;906;811
40;734;916
41;932;808
42;748;862
43;928;900
44;835;798
45;803;914
46;939;814
47;734;852
48;921;913
49;836;808
50;763;843
51;941;908
52;743;799
53;884;896
54;895;906
55;738;784
56;943;879
57;791;907
58;839;787
59;936;860
60;765;927
61;903;812
62;880;828
63;732;913
64;951;851
65;802;792
66;815;907
67;937;907
68;798;837
69;889;832
70;924;918
71;749;834
72;932;800
73;854;893
74;780;906
75;936;779
76;804;882
77;779;908
78;942;808
79;757;837
80;844;908
81;933;754
82;733;891
83;898;887
84;911;785
85;743;895
86;925;871
87;871;793
88;736;917
89;951;825
90;814;832
91;767;922
92;937;803
93;799;923
94;800;790
95;953;855
96;740;907
97;879;810
98;924;894
99;782;879
